,Year,Killed,Injured,Total
0,2007,338,7806,8144 
1,2006,368,8575,8943
2,2005,396,9318,9414
3,2004,374,7867,8241
4,2003,335,8262,8597
5,2002,376,9206,9582
6,2001,411,10222,10633
7,2000,415,12043,12458
8,1999,413,12340,12753
9,1998,458,12773,13231
10,1997,472,13115,13587
11,1996,453,13319,13772
12,1995,437,12673,13110
13,1994,404,10229,10633
14,1993,431,9831,10262
15,1992,415,10188,10603
16,1991,445,9874,10319
17,1990,478,9429,9907
18,1989,460,8803,9263
19,1988,463,8437,8900
20,1987,462,8409,8871
21,1986,387,8329,8716
22,1985,410,7818,8228
23,1984,465,8210,8675
24,1983,535,7946,8481
25,1982,533,8006,8539
26,1981,572,8283,8855
27,1980,564,8509,9068
28,1979,614,8250,8864
29,1978,628,9313,9941
30,1977,583,8515,9098
31,1976,525,7798,8323
32,1975,586,7198,7784
33,1974,594,8288,8882
34,1973,592,8762,9354
35,1972,640,8955,9595
36,1971,576,9629,10205
37,1970,540,9269,9809
38,1969,462,9566,10028
39,1968,447,9716,10163
40,1967,416,0,416
41,1966,382,0,382
42,1965,356,0,356
43,1964,341,0,341
44,1963,335,0,335
45,1962,339,0,339
46,1961,332,0,332
