,Statistic,Year,UNIT,VALUE,County_name
0,Persons Killed,2001,Number,8.0,Carlow
1,Persons Killed,2001,Number,53.0,Dublin
2,Persons Killed,2001,Number,31.0,Kildare
3,Persons Killed,2001,Number,11.0,Kilkenny
4,Persons Killed,2001,Number,13.0,Laois
5,Persons Killed,2001,Number,3.0,Longford
6,Persons Killed,2001,Number,15.0,Louth
7,Persons Killed,2001,Number,26.0,Meath
8,Persons Killed,2001,Number,9.0,Offaly
9,Persons Killed,2001,Number,7.0,Westmeath
10,Persons Killed,2001,Number,16.0,Wexford
11,Persons Killed,2001,Number,13.0,Wicklow
12,Persons Killed,2001,Number,9.0,Clare
13,Persons Killed,2001,Number,52.0,Cork
14,Persons Killed,2001,Number,14.0,Kerry
15,Persons Killed,2001,Number,22.0,Limerick
16,Persons Killed,2001,Number,16.0,Tipperary
17,Persons Killed,2001,Number,13.0,Waterford
18,Persons Killed,2001,Number,22.0,Galway
19,Persons Killed,2001,Number,5.0,Leitrim
20,Persons Killed,2001,Number,8.0,Mayo
21,Persons Killed,2001,Number,6.0,Roscommon
22,Persons Killed,2001,Number,6.0,Sligo
23,Persons Killed,2001,Number,5.0,Cavan
24,Persons Killed,2001,Number,14.0,Donegal
25,Persons Killed,2001,Number,14.0,Monaghan
26,Persons Killed,2002,Number,11.0,Carlow
27,Persons Killed,2002,Number,49.0,Dublin
28,Persons Killed,2002,Number,19.0,Kildare
29,Persons Killed,2002,Number,9.0,Kilkenny
30,Persons Killed,2002,Number,5.0,Laois
31,Persons Killed,2002,Number,8.0,Longford
32,Persons Killed,2002,Number,19.0,Louth
33,Persons Killed,2002,Number,18.0,Meath
34,Persons Killed,2002,Number,6.0,Offaly
35,Persons Killed,2002,Number,10.0,Westmeath
36,Persons Killed,2002,Number,7.0,Wexford
37,Persons Killed,2002,Number,11.0,Wicklow
38,Persons Killed,2002,Number,16.0,Clare
39,Persons Killed,2002,Number,35.0,Cork
40,Persons Killed,2002,Number,8.0,Kerry
41,Persons Killed,2002,Number,21.0,Limerick
42,Persons Killed,2002,Number,15.0,Tipperary
43,Persons Killed,2002,Number,12.0,Waterford
44,Persons Killed,2002,Number,26.0,Galway
45,Persons Killed,2002,Number,5.0,Leitrim
46,Persons Killed,2002,Number,14.0,Mayo
47,Persons Killed,2002,Number,5.0,Roscommon
48,Persons Killed,2002,Number,9.0,Sligo
49,Persons Killed,2002,Number,7.0,Cavan
50,Persons Killed,2002,Number,20.0,Donegal
51,Persons Killed,2002,Number,11.0,Monaghan
52,Persons Killed,2003,Number,4.0,Carlow
53,Persons Killed,2003,Number,37.0,Dublin
54,Persons Killed,2003,Number,17.0,Kildare
55,Persons Killed,2003,Number,9.0,Kilkenny
56,Persons Killed,2003,Number,11.0,Laois
57,Persons Killed,2003,Number,6.0,Longford
58,Persons Killed,2003,Number,14.0,Louth
59,Persons Killed,2003,Number,14.0,Meath
60,Persons Killed,2003,Number,7.0,Offaly
61,Persons Killed,2003,Number,15.0,Westmeath
62,Persons Killed,2003,Number,16.0,Wexford
63,Persons Killed,2003,Number,9.0,Wicklow
64,Persons Killed,2003,Number,9.0,Clare
65,Persons Killed,2003,Number,30.0,Cork
66,Persons Killed,2003,Number,15.0,Kerry
67,Persons Killed,2003,Number,13.0,Limerick
68,Persons Killed,2003,Number,21.0,Tipperary
69,Persons Killed,2003,Number,5.0,Waterford
70,Persons Killed,2003,Number,17.0,Galway
71,Persons Killed,2003,Number,0.0,Leitrim
72,Persons Killed,2003,Number,9.0,Mayo
73,Persons Killed,2003,Number,6.0,Roscommon
74,Persons Killed,2003,Number,5.0,Sligo
75,Persons Killed,2003,Number,15.0,Cavan
76,Persons Killed,2003,Number,23.0,Donegal
77,Persons Killed,2003,Number,8.0,Monaghan
78,Persons Killed,2004,Number,7.0,Carlow
79,Persons Killed,2004,Number,45.0,Dublin
80,Persons Killed,2004,Number,19.0,Kildare
81,Persons Killed,2004,Number,9.0,Kilkenny
82,Persons Killed,2004,Number,8.0,Laois
83,Persons Killed,2004,Number,5.0,Longford
84,Persons Killed,2004,Number,9.0,Louth
85,Persons Killed,2004,Number,22.0,Meath
86,Persons Killed,2004,Number,4.0,Offaly
87,Persons Killed,2004,Number,13.0,Westmeath
88,Persons Killed,2004,Number,16.0,Wexford
89,Persons Killed,2004,Number,14.0,Wicklow
90,Persons Killed,2004,Number,8.0,Clare
91,Persons Killed,2004,Number,29.0,Cork
92,Persons Killed,2004,Number,14.0,Kerry
93,Persons Killed,2004,Number,17.0,Limerick
94,Persons Killed,2004,Number,19.0,Tipperary
95,Persons Killed,2004,Number,4.0,Waterford
96,Persons Killed,2004,Number,25.0,Galway
97,Persons Killed,2004,Number,4.0,Leitrim
98,Persons Killed,2004,Number,12.0,Mayo
99,Persons Killed,2004,Number,9.0,Roscommon
100,Persons Killed,2004,Number,9.0,Sligo
101,Persons Killed,2004,Number,8.0,Cavan
102,Persons Killed,2004,Number,29.0,Donegal
103,Persons Killed,2004,Number,16.0,Monaghan
104,Persons Killed,2005,Number,9.0,Carlow
105,Persons Killed,2005,Number,41.0,Dublin
106,Persons Killed,2005,Number,14.0,Kildare
107,Persons Killed,2005,Number,6.0,Kilkenny
108,Persons Killed,2005,Number,14.0,Laois
109,Persons Killed,2005,Number,9.0,Longford
110,Persons Killed,2005,Number,14.0,Louth
111,Persons Killed,2005,Number,30.0,Meath
112,Persons Killed,2005,Number,8.0,Offaly
113,Persons Killed,2005,Number,12.0,Westmeath
114,Persons Killed,2005,Number,21.0,Wexford
115,Persons Killed,2005,Number,8.0,Wicklow
116,Persons Killed,2005,Number,12.0,Clare
117,Persons Killed,2005,Number,39.0,Cork
118,Persons Killed,2005,Number,11.0,Kerry
119,Persons Killed,2005,Number,17.0,Limerick
120,Persons Killed,2005,Number,15.0,Tipperary
121,Persons Killed,2005,Number,9.0,Waterford
