,Statistic,Year,UNIT,VALUE,County_name,per_10k,per_10k_vehicles,per_1b_km_travelled,avg_per_1k_km_travelled
0,Persons Killed,2001,Number,8.0,Carlow,1.7889487689796282,2.2952559927699436,12.698412698412698,0.4427880890004059
1,Persons Killed,2001,Number,53.0,Dublin,0.4790068470865538,0.881484908451694,5.8895432825869545,3.5416365033578723
2,Persons Killed,2001,Number,31.0,Kildare,1.9569471624266146,2.797585653499464,15.580499246104875,1.7264904903789924
3,Persons Killed,2001,Number,11.0,Kilkenny,1.3988503993082049,2.0004849660523765,11.08498488411152,0.6097110339221048
4,Persons Killed,2001,Number,13.0,Laois,2.294306589954467,3.2305226405795064,16.81759379042691,0.676760227322025
5,Persons Killed,2001,Number,3.0,Longford,0.9895111814763506,1.4388719244112615,7.346938775510204,0.15318106001293527
6,Persons Killed,2001,Number,15.0,Louth,1.5070984336223612,2.68039824761519,14.917951268025858,0.8350188343137073
7,Persons Killed,2001,Number,26.0,Meath,2.0518972157333164,2.653124394118227,14.176663031624864,1.3898293004525855
8,Persons Killed,2001,Number,9.0,Offaly,1.452175035497612,2.186013561380427,11.754462342185459,0.48410087227805315
9,Persons Killed,2001,Number,7.0,Westmeath,0.9973925309547895,1.4548578396053873,7.695126419934042,0.3701549362804717
10,Persons Killed,2001,Number,16.0,Wexford,1.4191820189638198,1.8308277057631022,9.97609892964772,0.8722832012793487
11,Persons Killed,2001,Number,13.0,Wicklow,1.16227089852481,1.6964008029630468,10.034735623311462,0.7692383554078444
12,Persons Killed,2001,Number,9.0,Clare,0.8873289426982687,1.307993779762914,7.167507300238916,0.49312816766357703
13,Persons Killed,2001,Number,52.0,Cork,1.1820814635987107,1.725297281993205,10.148651725596071,3.058643609199459
14,Persons Killed,2001,Number,14.0,Kerry,1.0722135849461212,1.5926737009755125,9.143354740394035,0.8039970137253776
15,Persons Killed,2001,Number,22.0,Limerick,1.2687647421812371,2.070273229014566,11.592166505664355,1.2323549182164464
16,Persons Killed,2001,Number,16.0,Tipperary,1.1586562484158998,1.659974892879745,8.968609865470851,0.4320120963386975
17,Persons Killed,2001,Number,13.0,Waterford,1.3012101254166375,1.98819319120301,11.904761904761903,0.7786529304303555
18,Persons Killed,2001,Number,22.0,Galway,1.083130246412131,1.6508832225240504,8.935824532900082,1.1909380441549302
19,Persons Killed,2001,Number,5.0,Leitrim,1.9952911129733828,2.7509811832887068,14.360938247965533,0.26096260405883837
20,Persons Killed,2001,Number,8.0,Mayo,0.6904110534809662,1.0260553941655925,5.450828980240745,0.42518136642661636
21,Persons Killed,2001,Number,6.0,Roscommon,1.1411617026132603,1.5863782983448786,8.046490835940993,0.30425449197951354
22,Persons Killed,2001,Number,6.0,Sligo,1.0433693875421695,1.6558423638069655,9.211873080859775,0.33382789317507416
23,Persons Killed,2001,Number,5.0,Cavan,0.9171114657275445,1.2836860617367416,6.65335994677312,0.25920613800134784
24,Persons Killed,2001,Number,14.0,Donegal,1.0371215432368563,1.6970931219240188,9.041007426541814,0.7456128671477645
25,Persons Killed,2001,Number,14.0,Monaghan,2.6917382861317796,4.280800101923812,21.632758176667526,0.7073922490020716
26,Persons Killed,2002,Number,11.0,Carlow,2.39938924637365,3.1559769900586727,17.460317460317462,0.6088336223755582
27,Persons Killed,2002,Number,49.0,Dublin,0.43648672724033494,0.8149577455496794,5.445049449938882,3.2743431823497313
28,Persons Killed,2002,Number,19.0,Kildare,1.1585719076801122,1.7146492714996715,9.549338247612665,1.0581715908774472
29,Persons Killed,2002,Number,9.0,Kilkenny,1.1191106800462567,1.6367604267701261,9.069533087000336,0.498854482299904
30,Persons Killed,2002,Number,5.0,Laois,0.8513246611727848,1.2425087079151946,6.468305304010349,0.2602923951238558
31,Persons Killed,2002,Number,8.0,Longford,2.5701159764834385,3.8369917984300304,19.59183673469388,0.40848282670116076
32,Persons Killed,2002,Number,19.0,Louth,1.866368047779022,3.3951711136459073,18.896071606166085,1.057690523464029
33,Persons Killed,2002,Number,18.0,Meath,1.3439254569346553,1.8367784266972342,9.814612868047982,0.9621895156979438
34,Persons Killed,2002,Number,6.0,Offaly,0.941885655081473,1.457342374253618,7.83630822812364,0.32273391485203545
35,Persons Killed,2002,Number,10.0,Westmeath,1.3883682507948407,2.0783683422934103,10.993037742762917,0.5287927661149596
36,Persons Killed,2002,Number,7.0,Wexford,0.6006366748753679,0.8009871212713572,4.364543281720877,0.381623900559715
37,Persons Killed,2002,Number,11.0,Wicklow,0.9588647041902388,1.4354160640456548,8.490930142802007,0.6508939930374067
38,Persons Killed,2002,Number,16.0,Clare,1.5483920915873923,2.325322275134069,12.74223520042474,0.8766722980685814
39,Persons Killed,2002,Number,35.0,Cork,0.7809344885213787,1.1612577859569648,6.8308232768435095,2.0587024292688665
40,Persons Killed,2002,Number,8.0,Kerry,0.6041200990756963,0.9100992577002929,5.224774137368019,0.45942686498593005
41,Persons Killed,2002,Number,21.0,Limerick,1.196383503580605,1.9761699004229942,11.065249846315975,1.176338785570244
42,Persons Killed,2002,Number,15.0,Tipperary,1.0692823689594457,1.556226462074761,8.408071748878923,0.4050113403175289
43,Persons Killed,2002,Number,12.0,Waterford,1.182056384089521,1.835255253418163,10.989010989010989,0.718756551166482
44,Persons Killed,2002,Number,26.0,Galway,1.2450556922988516,1.951043808437514,10.560519902518278,1.4074722340012813
45,Persons Killed,2002,Number,5.0,Leitrim,1.936858415649816,2.7509811832887068,14.360938247965533,0.26096260405883837
46,Persons Killed,2002,Number,14.0,Mayo,1.1922199134788978,1.795596939789787,9.538950715421302,0.7440673912465786
47,Persons Killed,2002,Number,5.0,Roscommon,0.9293162091333198,1.321981915287399,6.705409029950827,0.25354540998292796
48,Persons Killed,2002,Number,9.0,Sligo,1.546976520334147,2.483763545710448,13.81780962128966,0.5007418397626113
49,Persons Killed,2002,Number,7.0,Cavan,1.2407827566647758,1.7971604864314383,9.314703925482368,0.362888593201887
50,Persons Killed,2002,Number,20.0,Donegal,1.455784194551,2.4244187456057413,12.915724895059734,1.0651612387825207
51,Persons Killed,2002,Number,11.0,Monaghan,2.0844387175017056,3.3634857943687093,16.9971671388102,0.5558081956444848
52,Persons Killed,2003,Number,4.0,Carlow,0.8515892784909838,1.1476279963849718,6.349206349206349,0.22139404450020295
53,Persons Killed,2003,Number,37.0,Dublin,0.32491938486613325,0.6153762568436354,4.111567951994666,2.4724632193253067
54,Persons Killed,2003,Number,17.0,Kildare,1.002476707158863,1.534159874499706,8.544144747863964,0.9467851076271894
55,Persons Killed,2003,Number,9.0,Kilkenny,1.0948239158202056,1.6367604267701261,9.069533087000336,0.498854482299904
56,Persons Killed,2003,Number,11.0,Laois,1.809151014769251,2.7335191574134288,14.23027166882277,0.5726432692724828
57,Persons Killed,2003,Number,6.0,Longford,1.8788163457022076,2.877743848822523,14.693877551020408,0.30636212002587054
58,Persons Killed,2003,Number,14.0,Louth,1.345183761710305,2.5017050311075106,13.9234211834908,0.7793509120261267
59,Persons Killed,2003,Number,14.0,Meath,0.9917894006049914,1.4286054429867379,7.633587786259541,0.748369623320623
60,Persons Killed,2003,Number,7.0,Offaly,1.0698946917939078,1.7002327699625543,9.14235959947758,0.37652290066070804
61,Persons Killed,2003,Number,15.0,Westmeath,2.030566798879127,3.1175525134401156,16.489556614144377,0.7931891491724393
62,Persons Killed,2003,Number,16.0,Wexford,1.3295220368277603,1.8308277057631022,9.97609892964772,0.8722832012793487
