,Statistic,Year,Age Group,Sex,Road User Type,UNIT,VALUE
6241,All Killed and Injured Casualties,2005,All ages,Male,Pedestrians,Number,563
6242,All Killed and Injured Casualties,2005,All ages,Male,Pedal cyclists,Number,152
6243,All Killed and Injured Casualties,2005,All ages,Male,Motor cyclists,Number,496
6245,All Killed and Injured Casualties,2005,All ages,Male,Car drivers,Number,2081
6246,All Killed and Injured Casualties,2005,All ages,Male,Car passengers,Number,910
6247,All Killed and Injured Casualties,2005,All ages,Male,Other road users,Number,772
6249,All Killed and Injured Casualties,2005,All ages,Female,Pedestrians,Number,419
6250,All Killed and Injured Casualties,2005,All ages,Female,Pedal cyclists,Number,45
6251,All Killed and Injured Casualties,2005,All ages,Female,Motor cyclists,Number,45
6253,All Killed and Injured Casualties,2005,All ages,Female,Car drivers,Number,1587
6254,All Killed and Injured Casualties,2005,All ages,Female,Car passengers,Number,985
6255,All Killed and Injured Casualties,2005,All ages,Female,Other road users,Number,152
6257,All Killed and Injured Casualties,2005,0 - 5 years,Male,Pedestrians,Number,39
6258,All Killed and Injured Casualties,2005,0 - 5 years,Male,Pedal cyclists,Number,0
6259,All Killed and Injured Casualties,2005,0 - 5 years,Male,Motor cyclists,Number,0
6261,All Killed and Injured Casualties,2005,0 - 5 years,Male,Car drivers,Number,1
6262,All Killed and Injured Casualties,2005,0 - 5 years,Male,Car passengers,Number,52
6263,All Killed and Injured Casualties,2005,0 - 5 years,Male,Other road users,Number,4
6265,All Killed and Injured Casualties,2005,0 - 5 years,Female,Pedestrians,Number,17
6266,All Killed and Injured Casualties,2005,0 - 5 years,Female,Pedal cyclists,Number,1
6267,All Killed and Injured Casualties,2005,0 - 5 years,Female,Motor cyclists,Number,0
6269,All Killed and Injured Casualties,2005,0 - 5 years,Female,Car drivers,Number,0
6270,All Killed and Injured Casualties,2005,0 - 5 years,Female,Car passengers,Number,53
6271,All Killed and Injured Casualties,2005,0 - 5 years,Female,Other road users,Number,1
6273,All Killed and Injured Casualties,2005,6 - 9 years,Male,Pedestrians,Number,42
6274,All Killed and Injured Casualties,2005,6 - 9 years,Male,Pedal cyclists,Number,8
6275,All Killed and Injured Casualties,2005,6 - 9 years,Male,Motor cyclists,Number,1
6277,All Killed and Injured Casualties,2005,6 - 9 years,Male,Car drivers,Number,0
6278,All Killed and Injured Casualties,2005,6 - 9 years,Male,Car passengers,Number,37
6279,All Killed and Injured Casualties,2005,6 - 9 years,Male,Other road users,Number,9
6281,All Killed and Injured Casualties,2005,6 - 9 years,Female,Pedestrians,Number,19
6282,All Killed and Injured Casualties,2005,6 - 9 years,Female,Pedal cyclists,Number,3
6283,All Killed and Injured Casualties,2005,6 - 9 years,Female,Motor cyclists,Number,0
6285,All Killed and Injured Casualties,2005,6 - 9 years,Female,Car drivers,Number,0
6286,All Killed and Injured Casualties,2005,6 - 9 years,Female,Car passengers,Number,37
6287,All Killed and Injured Casualties,2005,6 - 9 years,Female,Other road users,Number,3
6289,All Killed and Injured Casualties,2005,10 - 14 years,Male,Pedestrians,Number,52
6290,All Killed and Injured Casualties,2005,10 - 14 years,Male,Pedal cyclists,Number,12
6291,All Killed and Injured Casualties,2005,10 - 14 years,Male,Motor cyclists,Number,1
6293,All Killed and Injured Casualties,2005,10 - 14 years,Male,Car drivers,Number,1
6294,All Killed and Injured Casualties,2005,10 - 14 years,Male,Car passengers,Number,53
6295,All Killed and Injured Casualties,2005,10 - 14 years,Male,Other road users,Number,20
6297,All Killed and Injured Casualties,2005,10 - 14 years,Female,Pedestrians,Number,48
6298,All Killed and Injured Casualties,2005,10 - 14 years,Female,Pedal cyclists,Number,3
6299,All Killed and Injured Casualties,2005,10 - 14 years,Female,Motor cyclists,Number,0
6301,All Killed and Injured Casualties,2005,10 - 14 years,Female,Car drivers,Number,0
6302,All Killed and Injured Casualties,2005,10 - 14 years,Female,Car passengers,Number,46
6303,All Killed and Injured Casualties,2005,10 - 14 years,Female,Other road users,Number,6
6305,All Killed and Injured Casualties,2005,15 - 17 years,Male,Pedestrians,Number,37
6306,All Killed and Injured Casualties,2005,15 - 17 years,Male,Pedal cyclists,Number,13
6307,All Killed and Injured Casualties,2005,15 - 17 years,Male,Motor cyclists,Number,38
6309,All Killed and Injured Casualties,2005,15 - 17 years,Male,Car drivers,Number,54
6310,All Killed and Injured Casualties,2005,15 - 17 years,Male,Car passengers,Number,89
6311,All Killed and Injured Casualties,2005,15 - 17 years,Male,Other road users,Number,27
