,Statistic,Year,Age Group,Sex,Road User Type,UNIT,VALUE
16,Killed Casualties,2005,0 - 5 years,Male,All road users,Number,3
24,Killed Casualties,2005,0 - 5 years,Female,All road users,Number,0
32,Killed Casualties,2005,6 - 9 years,Male,All road users,Number,1
40,Killed Casualties,2005,6 - 9 years,Female,All road users,Number,0
48,Killed Casualties,2005,10 - 14 years,Male,All road users,Number,4
56,Killed Casualties,2005,10 - 14 years,Female,All road users,Number,1
64,Killed Casualties,2005,15 - 17 years,Male,All road users,Number,15
72,Killed Casualties,2005,15 - 17 years,Female,All road users,Number,11
80,Killed Casualties,2005,18 - 20 years,Male,All road users,Number,46
88,Killed Casualties,2005,18 - 20 years,Female,All road users,Number,9
96,Killed Casualties,2005,21 - 24 years,Male,All road users,Number,43
104,Killed Casualties,2005,21 - 24 years,Female,All road users,Number,11
112,Killed Casualties,2005,25 - 34 years,Male,All road users,Number,58
120,Killed Casualties,2005,25 - 34 years,Female,All road users,Number,19
128,Killed Casualties,2005,35 - 44 years,Male,All road users,Number,38
136,Killed Casualties,2005,35 - 44 years,Female,All road users,Number,7
144,Killed Casualties,2005,45 - 54 years,Male,All road users,Number,21
152,Killed Casualties,2005,45 - 54 years,Female,All road users,Number,10
160,Killed Casualties,2005,55 - 64 years,Male,All road users,Number,22
168,Killed Casualties,2005,55 - 64 years,Female,All road users,Number,11
176,Killed Casualties,2005,65 years and over,Male,All road users,Number,34
184,Killed Casualties,2005,65 years and over,Female,All road users,Number,22
192,Killed Casualties,2005,Age unknown,Male,All road users,Number,1
200,Killed Casualties,2005,Age unknown,Female,All road users,Number,1
224,Killed Casualties,2006,0 - 5 years,Male,All road users,Number,5
232,Killed Casualties,2006,0 - 5 years,Female,All road users,Number,4
240,Killed Casualties,2006,6 - 9 years,Male,All road users,Number,3
248,Killed Casualties,2006,6 - 9 years,Female,All road users,Number,1
256,Killed Casualties,2006,10 - 14 years,Male,All road users,Number,1
264,Killed Casualties,2006,10 - 14 years,Female,All road users,Number,2
272,Killed Casualties,2006,15 - 17 years,Male,All road users,Number,13
280,Killed Casualties,2006,15 - 17 years,Female,All road users,Number,5
288,Killed Casualties,2006,18 - 20 years,Male,All road users,Number,29
296,Killed Casualties,2006,18 - 20 years,Female,All road users,Number,12
304,Killed Casualties,2006,21 - 24 years,Male,All road users,Number,46
312,Killed Casualties,2006,21 - 24 years,Female,All road users,Number,8
320,Killed Casualties,2006,25 - 34 years,Male,All road users,Number,64
328,Killed Casualties,2006,25 - 34 years,Female,All road users,Number,15
336,Killed Casualties,2006,35 - 44 years,Male,All road users,Number,30
344,Killed Casualties,2006,35 - 44 years,Female,All road users,Number,8
352,Killed Casualties,2006,45 - 54 years,Male,All road users,Number,17
360,Killed Casualties,2006,45 - 54 years,Female,All road users,Number,5
368,Killed Casualties,2006,55 - 64 years,Male,All road users,Number,23
376,Killed Casualties,2006,55 - 64 years,Female,All road users,Number,5
384,Killed Casualties,2006,65 years and over,Male,All road users,Number,31
392,Killed Casualties,2006,65 years and over,Female,All road users,Number,32
400,Killed Casualties,2006,Age unknown,Male,All road users,Number,0
408,Killed Casualties,2006,Age unknown,Female,All road users,Number,0
432,Killed Casualties,2007,0 - 5 years,Male,All road users,Number,2
440,Killed Casualties,2007,0 - 5 years,Female,All road users,Number,6
448,Killed Casualties,2007,6 - 9 years,Male,All road users,Number,0
456,Killed Casualties,2007,6 - 9 years,Female,All road users,Number,1
464,Killed Casualties,2007,10 - 14 years,Male,All road users,Number,5
472,Killed Casualties,2007,10 - 14 years,Female,All road users,Number,2
480,Killed Casualties,2007,15 - 17 years,Male,All road users,Number,12
488,Killed Casualties,2007,15 - 17 years,Female,All road users,Number,2
496,Killed Casualties,2007,18 - 20 years,Male,All road users,Number,28
504,Killed Casualties,2007,18 - 20 years,Female,All road users,Number,8
512,Killed Casualties,2007,21 - 24 years,Male,All road users,Number,33
520,Killed Casualties,2007,21 - 24 years,Female,All road users,Number,6
528,Killed Casualties,2007,25 - 34 years,Male,All road users,Number,52
536,Killed Casualties,2007,25 - 34 years,Female,All road users,Number,8
544,Killed Casualties,2007,35 - 44 years,Male,All road users,Number,36
552,Killed Casualties,2007,35 - 44 years,Female,All road users,Number,9
560,Killed Casualties,2007,45 - 54 years,Male,All road users,Number,22
568,Killed Casualties,2007,45 - 54 years,Female,All road users,Number,6
576,Killed Casualties,2007,55 - 64 years,Male,All road users,Number,21
584,Killed Casualties,2007,55 - 64 years,Female,All road users,Number,13
592,Killed Casualties,2007,65 years and over,Male,All road users,Number,34
600,Killed Casualties,2007,65 years and over,Female,All road users,Number,24
608,Killed Casualties,2007,Age unknown,Male,All road users,Number,5
616,Killed Casualties,2007,Age unknown,Female,All road users,Number,0
640,Killed Casualties,2008,0 - 5 years,Male,All road users,Number,3
648,Killed Casualties,2008,0 - 5 years,Female,All road users,Number,1
656,Killed Casualties,2008,6 - 9 years,Male,All road users,Number,3
664,Killed Casualties,2008,6 - 9 years,Female,All road users,Number,2
672,Killed Casualties,2008,10 - 14 years,Male,All road users,Number,6
680,Killed Casualties,2008,10 - 14 years,Female,All road users,Number,4
688,Killed Casualties,2008,15 - 17 years,Male,All road users,Number,16
696,Killed Casualties,2008,15 - 17 years,Female,All road users,Number,4
704,Killed Casualties,2008,18 - 20 years,Male,All road users,Number,25
712,Killed Casualties,2008,18 - 20 years,Female,All road users,Number,9
720,Killed Casualties,2008,21 - 24 years,Male,All road users,Number,32
728,Killed Casualties,2008,21 - 24 years,Female,All road users,Number,9
736,Killed Casualties,2008,25 - 34 years,Male,All road users,Number,33
744,Killed Casualties,2008,25 - 34 years,Female,All road users,Number,11
752,Killed Casualties,2008,35 - 44 years,Male,All road users,Number,32
760,Killed Casualties,2008,35 - 44 years,Female,All road users,Number,4
768,Killed Casualties,2008,45 - 54 years,Male,All road users,Number,13
776,Killed Casualties,2008,45 - 54 years,Female,All road users,Number,7
784,Killed Casualties,2008,55 - 64 years,Male,All road users,Number,8
792,Killed Casualties,2008,55 - 64 years,Female,All road users,Number,5
800,Killed Casualties,2008,65 years and over,Male,All road users,Number,27
808,Killed Casualties,2008,65 years and over,Female,All road users,Number,19
816,Killed Casualties,2008,Age unknown,Male,All road users,Number,1
824,Killed Casualties,2008,Age unknown,Female,All road users,Number,0
848,Killed Casualties,2009,0 - 5 years,Male,All road users,Number,5
856,Killed Casualties,2009,0 - 5 years,Female,All road users,Number,2
864,Killed Casualties,2009,6 - 9 years,Male,All road users,Number,1
872,Killed Casualties,2009,6 - 9 years,Female,All road users,Number,0
880,Killed Casualties,2009,10 - 14 years,Male,All road users,Number,2
888,Killed Casualties,2009,10 - 14 years,Female,All road users,Number,2
896,Killed Casualties,2009,15 - 17 years,Male,All road users,Number,9
904,Killed Casualties,2009,15 - 17 years,Female,All road users,Number,0
912,Killed Casualties,2009,18 - 20 years,Male,All road users,Number,23
920,Killed Casualties,2009,18 - 20 years,Female,All road users,Number,8
928,Killed Casualties,2009,21 - 24 years,Male,All road users,Number,30
936,Killed Casualties,2009,21 - 24 years,Female,All road users,Number,3
944,Killed Casualties,2009,25 - 34 years,Male,All road users,Number,41
952,Killed Casualties,2009,25 - 34 years,Female,All road users,Number,11
960,Killed Casualties,2009,35 - 44 years,Male,All road users,Number,30
968,Killed Casualties,2009,35 - 44 years,Female,All road users,Number,4
976,Killed Casualties,2009,45 - 54 years,Male,All road users,Number,10
984,Killed Casualties,2009,45 - 54 years,Female,All road users,Number,9
992,Killed Casualties,2009,55 - 64 years,Male,All road users,Number,17
1000,Killed Casualties,2009,55 - 64 years,Female,All road users,Number,5
1008,Killed Casualties,2009,65 years and over,Male,All road users,Number,14
1016,Killed Casualties,2009,65 years and over,Female,All road users,Number,12
1024,Killed Casualties,2009,Age unknown,Male,All road users,Number,0
1032,Killed Casualties,2009,Age unknown,Female,All road users,Number,0
1056,Killed Casualties,2010,0 - 5 years,Male,All road users,Number,3
1064,Killed Casualties,2010,0 - 5 years,Female,All road users,Number,0
1072,Killed Casualties,2010,6 - 9 years,Male,All road users,Number,2
1080,Killed Casualties,2010,6 - 9 years,Female,All road users,Number,0
1088,Killed Casualties,2010,10 - 14 years,Male,All road users,Number,0
1096,Killed Casualties,2010,10 - 14 years,Female,All road users,Number,1
1104,Killed Casualties,2010,15 - 17 years,Male,All road users,Number,4
1112,Killed Casualties,2010,15 - 17 years,Female,All road users,Number,3
1120,Killed Casualties,2010,18 - 20 years,Male,All road users,Number,17
1128,Killed Casualties,2010,18 - 20 years,Female,All road users,Number,4
1136,Killed Casualties,2010,21 - 24 years,Male,All road users,Number,29
1144,Killed Casualties,2010,21 - 24 years,Female,All road users,Number,5
1152,Killed Casualties,2010,25 - 34 years,Male,All road users,Number,41
1160,Killed Casualties,2010,25 - 34 years,Female,All road users,Number,7
1168,Killed Casualties,2010,35 - 44 years,Male,All road users,Number,21
1176,Killed Casualties,2010,35 - 44 years,Female,All road users,Number,5
1184,Killed Casualties,2010,45 - 54 years,Male,All road users,Number,12
1192,Killed Casualties,2010,45 - 54 years,Female,All road users,Number,6
1200,Killed Casualties,2010,55 - 64 years,Male,All road users,Number,10
1208,Killed Casualties,2010,55 - 64 years,Female,All road users,Number,7
1216,Killed Casualties,2010,65 years and over,Male,All road users,Number,22
1224,Killed Casualties,2010,65 years and over,Female,All road users,Number,8
1232,Killed Casualties,2010,Age unknown,Male,All road users,Number,0
1240,Killed Casualties,2010,Age unknown,Female,All road users,Number,0
1264,Killed Casualties,2011,0 - 5 years,Male,All road users,Number,2
1272,Killed Casualties,2011,0 - 5 years,Female,All road users,Number,0
1280,Killed Casualties,2011,6 - 9 years,Male,All road users,Number,2
1288,Killed Casualties,2011,6 - 9 years,Female,All road users,Number,0
1296,Killed Casualties,2011,10 - 14 years,Male,All road users,Number,1
1304,Killed Casualties,2011,10 - 14 years,Female,All road users,Number,2
1312,Killed Casualties,2011,15 - 17 years,Male,All road users,Number,6
1320,Killed Casualties,2011,15 - 17 years,Female,All road users,Number,4
1328,Killed Casualties,2011,18 - 20 years,Male,All road users,Number,16
1336,Killed Casualties,2011,18 - 20 years,Female,All road users,Number,6
1344,Killed Casualties,2011,21 - 24 years,Male,All road users,Number,14
1352,Killed Casualties,2011,21 - 24 years,Female,All road users,Number,3
1360,Killed Casualties,2011,25 - 34 years,Male,All road users,Number,35
1368,Killed Casualties,2011,25 - 34 years,Female,All road users,Number,6
1376,Killed Casualties,2011,35 - 44 years,Male,All road users,Number,22
1384,Killed Casualties,2011,35 - 44 years,Female,All road users,Number,8
1392,Killed Casualties,2011,45 - 54 years,Male,All road users,Number,6
1400,Killed Casualties,2011,45 - 54 years,Female,All road users,Number,3
1408,Killed Casualties,2011,55 - 64 years,Male,All road users,Number,8
1416,Killed Casualties,2011,55 - 64 years,Female,All road users,Number,5
1424,Killed Casualties,2011,65 years and over,Male,All road users,Number,18
1432,Killed Casualties,2011,65 years and over,Female,All road users,Number,19
1440,Killed Casualties,2011,Age unknown,Male,All road users,Number,0
1448,Killed Casualties,2011,Age unknown,Female,All road users,Number,0
1472,Killed Casualties,2012,0 - 5 years,Male,All road users,Number,0
1480,Killed Casualties,2012,0 - 5 years,Female,All road users,Number,2
1488,Killed Casualties,2012,6 - 9 years,Male,All road users,Number,1
1496,Killed Casualties,2012,6 - 9 years,Female,All road users,Number,0
1504,Killed Casualties,2012,10 - 14 years,Male,All road users,Number,0
1512,Killed Casualties,2012,10 - 14 years,Female,All road users,Number,0
1520,Killed Casualties,2012,15 - 17 years,Male,All road users,Number,7
1528,Killed Casualties,2012,15 - 17 years,Female,All road users,Number,0
1536,Killed Casualties,2012,18 - 20 years,Male,All road users,Number,10
1544,Killed Casualties,2012,18 - 20 years,Female,All road users,Number,2
1552,Killed Casualties,2012,21 - 24 years,Male,All road users,Number,18
1560,Killed Casualties,2012,21 - 24 years,Female,All road users,Number,5
1568,Killed Casualties,2012,25 - 34 years,Male,All road users,Number,23
1576,Killed Casualties,2012,25 - 34 years,Female,All road users,Number,12
1584,Killed Casualties,2012,35 - 44 years,Male,All road users,Number,12
1592,Killed Casualties,2012,35 - 44 years,Female,All road users,Number,4
1600,Killed Casualties,2012,45 - 54 years,Male,All road users,Number,11
1608,Killed Casualties,2012,45 - 54 years,Female,All road users,Number,8
1616,Killed Casualties,2012,55 - 64 years,Male,All road users,Number,9
1624,Killed Casualties,2012,55 - 64 years,Female,All road users,Number,2
1632,Killed Casualties,2012,65 years and over,Male,All road users,Number,17
1640,Killed Casualties,2012,65 years and over,Female,All road users,Number,19
1648,Killed Casualties,2012,Age unknown,Male,All road users,Number,0
1656,Killed Casualties,2012,Age unknown,Female,All road users,Number,0
1680,Killed Casualties,2013,0 - 5 years,Male,All road users,Number,1
1688,Killed Casualties,2013,0 - 5 years,Female,All road users,Number,3
1696,Killed Casualties,2013,6 - 9 years,Male,All road users,Number,0
1704,Killed Casualties,2013,6 - 9 years,Female,All road users,Number,1
1712,Killed Casualties,2013,10 - 14 years,Male,All road users,Number,1
1720,Killed Casualties,2013,10 - 14 years,Female,All road users,Number,0
1728,Killed Casualties,2013,15 - 17 years,Male,All road users,Number,1
1736,Killed Casualties,2013,15 - 17 years,Female,All road users,Number,3
1744,Killed Casualties,2013,18 - 20 years,Male,All road users,Number,12
1752,Killed Casualties,2013,18 - 20 years,Female,All road users,Number,1
1760,Killed Casualties,2013,21 - 24 years,Male,All road users,Number,17
1768,Killed Casualties,2013,21 - 24 years,Female,All road users,Number,6
1776,Killed Casualties,2013,25 - 34 years,Male,All road users,Number,34
1784,Killed Casualties,2013,25 - 34 years,Female,All road users,Number,5
1792,Killed Casualties,2013,35 - 44 years,Male,All road users,Number,19
1800,Killed Casualties,2013,35 - 44 years,Female,All road users,Number,4
1808,Killed Casualties,2013,45 - 54 years,Male,All road users,Number,13
1816,Killed Casualties,2013,45 - 54 years,Female,All road users,Number,5
1824,Killed Casualties,2013,55 - 64 years,Male,All road users,Number,13
1832,Killed Casualties,2013,55 - 64 years,Female,All road users,Number,3
1840,Killed Casualties,2013,65 years and over,Male,All road users,Number,31
1848,Killed Casualties,2013,65 years and over,Female,All road users,Number,15
1856,Killed Casualties,2013,Age unknown,Male,All road users,Number,0
1864,Killed Casualties,2013,Age unknown,Female,All road users,Number,0
1888,Killed Casualties,2014,0 - 5 years,Male,All road users,Number,2
1896,Killed Casualties,2014,0 - 5 years,Female,All road users,Number,2
1904,Killed Casualties,2014,6 - 9 years,Male,All road users,Number,3
1912,Killed Casualties,2014,6 - 9 years,Female,All road users,Number,1
1920,Killed Casualties,2014,10 - 14 years,Male,All road users,Number,2
1928,Killed Casualties,2014,10 - 14 years,Female,All road users,Number,2
1936,Killed Casualties,2014,15 - 17 years,Male,All road users,Number,5
1944,Killed Casualties,2014,15 - 17 years,Female,All road users,Number,1
1952,Killed Casualties,2014,18 - 20 years,Male,All road users,Number,10
1960,Killed Casualties,2014,18 - 20 years,Female,All road users,Number,2
1968,Killed Casualties,2014,21 - 24 years,Male,All road users,Number,13
1976,Killed Casualties,2014,21 - 24 years,Female,All road users,Number,3
1984,Killed Casualties,2014,25 - 34 years,Male,All road users,Number,29
1992,Killed Casualties,2014,25 - 34 years,Female,All road users,Number,4
2000,Killed Casualties,2014,35 - 44 years,Male,All road users,Number,21
2008,Killed Casualties,2014,35 - 44 years,Female,All road users,Number,10
2016,Killed Casualties,2014,45 - 54 years,Male,All road users,Number,13
2024,Killed Casualties,2014,45 - 54 years,Female,All road users,Number,7
2032,Killed Casualties,2014,55 - 64 years,Male,All road users,Number,7
2040,Killed Casualties,2014,55 - 64 years,Female,All road users,Number,9
2048,Killed Casualties,2014,65 years and over,Male,All road users,Number,26
2056,Killed Casualties,2014,65 years and over,Female,All road users,Number,17
2064,Killed Casualties,2014,Age unknown,Male,All road users,Number,1
2072,Killed Casualties,2014,Age unknown,Female,All road users,Number,0
2096,Killed Casualties,2015,0 - 5 years,Male,All road users,Number,1
2104,Killed Casualties,2015,0 - 5 years,Female,All road users,Number,1
2112,Killed Casualties,2015,6 - 9 years,Male,All road users,Number,0
2120,Killed Casualties,2015,6 - 9 years,Female,All road users,Number,0
2128,Killed Casualties,2015,10 - 14 years,Male,All road users,Number,1
2136,Killed Casualties,2015,10 - 14 years,Female,All road users,Number,0
2144,Killed Casualties,2015,15 - 17 years,Male,All road users,Number,3
2152,Killed Casualties,2015,15 - 17 years,Female,All road users,Number,0
2160,Killed Casualties,2015,18 - 20 years,Male,All road users,Number,12
2168,Killed Casualties,2015,18 - 20 years,Female,All road users,Number,7
2176,Killed Casualties,2015,21 - 24 years,Male,All road users,Number,15
2184,Killed Casualties,2015,21 - 24 years,Female,All road users,Number,3
2192,Killed Casualties,2015,25 - 34 years,Male,All road users,Number,24
2200,Killed Casualties,2015,25 - 34 years,Female,All road users,Number,8
2208,Killed Casualties,2015,35 - 44 years,Male,All road users,Number,14
2216,Killed Casualties,2015,35 - 44 years,Female,All road users,Number,5
2224,Killed Casualties,2015,45 - 54 years,Male,All road users,Number,9
2232,Killed Casualties,2015,45 - 54 years,Female,All road users,Number,3
2240,Killed Casualties,2015,55 - 64 years,Male,All road users,Number,19
2248,Killed Casualties,2015,55 - 64 years,Female,All road users,Number,5
2256,Killed Casualties,2015,65 years and over,Male,All road users,Number,24
2264,Killed Casualties,2015,65 years and over,Female,All road users,Number,8
2272,Killed Casualties,2015,Age unknown,Male,All road users,Number,0
