,Statistic,Year,Age Group,Sex,Road User Type,UNIT,VALUE
1,Killed Casualties,2005,All ages,Male,Pedestrians,Number,51
2,Killed Casualties,2005,All ages,Male,Pedal cyclists,Number,7
3,Killed Casualties,2005,All ages,Male,Motor cyclists,Number,53
4,Killed Casualties,2005,All ages,Male,All Car users,Number,148
5,Killed Casualties,2005,All ages,Male,Car drivers,Number,104
6,Killed Casualties,2005,All ages,Male,Car passengers,Number,44
7,Killed Casualties,2005,All ages,Male,Other road users,Number,27
9,Killed Casualties,2005,All ages,Female,Pedestrians,Number,21
10,Killed Casualties,2005,All ages,Female,Pedal cyclists,Number,2
11,Killed Casualties,2005,All ages,Female,Motor cyclists,Number,2
12,Killed Casualties,2005,All ages,Female,All Car users,Number,70
13,Killed Casualties,2005,All ages,Female,Car drivers,Number,38
14,Killed Casualties,2005,All ages,Female,Car passengers,Number,32
15,Killed Casualties,2005,All ages,Female,Other road users,Number,7
209,Killed Casualties,2006,All ages,Male,Pedestrians,Number,48
210,Killed Casualties,2006,All ages,Male,Pedal cyclists,Number,7
211,Killed Casualties,2006,All ages,Male,Motor cyclists,Number,26
212,Killed Casualties,2006,All ages,Male,All Car users,Number,156
213,Killed Casualties,2006,All ages,Male,Car drivers,Number,109
214,Killed Casualties,2006,All ages,Male,Car passengers,Number,47
215,Killed Casualties,2006,All ages,Male,Other road users,Number,25
217,Killed Casualties,2006,All ages,Female,Pedestrians,Number,22
218,Killed Casualties,2006,All ages,Female,Pedal cyclists,Number,2
219,Killed Casualties,2006,All ages,Female,Motor cyclists,Number,3
220,Killed Casualties,2006,All ages,Female,All Car users,Number,67
221,Killed Casualties,2006,All ages,Female,Car drivers,Number,36
222,Killed Casualties,2006,All ages,Female,Car passengers,Number,31
223,Killed Casualties,2006,All ages,Female,Other road users,Number,3
417,Killed Casualties,2007,All ages,Male,Pedestrians,Number,52
418,Killed Casualties,2007,All ages,Male,Pedal cyclists,Number,10
419,Killed Casualties,2007,All ages,Male,Motor cyclists,Number,33
420,Killed Casualties,2007,All ages,Male,All Car users,Number,118
421,Killed Casualties,2007,All ages,Male,Car drivers,Number,85
422,Killed Casualties,2007,All ages,Male,Car passengers,Number,33
423,Killed Casualties,2007,All ages,Male,Other road users,Number,37
425,Killed Casualties,2007,All ages,Female,Pedestrians,Number,28
426,Killed Casualties,2007,All ages,Female,Pedal cyclists,Number,4
427,Killed Casualties,2007,All ages,Female,Motor cyclists,Number,0
428,Killed Casualties,2007,All ages,Female,All Car users,Number,53
429,Killed Casualties,2007,All ages,Female,Car drivers,Number,25
430,Killed Casualties,2007,All ages,Female,Car passengers,Number,28
431,Killed Casualties,2007,All ages,Female,Other road users,Number,0
625,Killed Casualties,2008,All ages,Male,Pedestrians,Number,31
626,Killed Casualties,2008,All ages,Male,Pedal cyclists,Number,11
627,Killed Casualties,2008,All ages,Male,Motor cyclists,Number,28
628,Killed Casualties,2008,All ages,Male,All Car users,Number,102
629,Killed Casualties,2008,All ages,Male,Car drivers,Number,75
630,Killed Casualties,2008,All ages,Male,Car passengers,Number,27
631,Killed Casualties,2008,All ages,Male,Other road users,Number,27
633,Killed Casualties,2008,All ages,Female,Pedestrians,Number,17
634,Killed Casualties,2008,All ages,Female,Pedal cyclists,Number,2
635,Killed Casualties,2008,All ages,Female,Motor cyclists,Number,1
636,Killed Casualties,2008,All ages,Female,All Car users,Number,55
637,Killed Casualties,2008,All ages,Female,Car drivers,Number,34
638,Killed Casualties,2008,All ages,Female,Car passengers,Number,21
639,Killed Casualties,2008,All ages,Female,Other road users,Number,0
833,Killed Casualties,2009,All ages,Male,Pedestrians,Number,26
834,Killed Casualties,2009,All ages,Male,Pedal cyclists,Number,7
835,Killed Casualties,2009,All ages,Male,Motor cyclists,Number,25
836,Killed Casualties,2009,All ages,Male,All Car users,Number,106
837,Killed Casualties,2009,All ages,Male,Car drivers,Number,76
838,Killed Casualties,2009,All ages,Male,Car passengers,Number,30
839,Killed Casualties,2009,All ages,Male,Other road users,Number,18
841,Killed Casualties,2009,All ages,Female,Pedestrians,Number,14
842,Killed Casualties,2009,All ages,Female,Pedal cyclists,Number,0
843,Killed Casualties,2009,All ages,Female,Motor cyclists,Number,0
844,Killed Casualties,2009,All ages,Female,All Car users,Number,40
845,Killed Casualties,2009,All ages,Female,Car drivers,Number,31
846,Killed Casualties,2009,All ages,Female,Car passengers,Number,9
847,Killed Casualties,2009,All ages,Female,Other road users,Number,2
1041,Killed Casualties,2010,All ages,Male,Pedestrians,Number,32
1042,Killed Casualties,2010,All ages,Male,Pedal cyclists,Number,4
1043,Killed Casualties,2010,All ages,Male,Motor cyclists,Number,16
1044,Killed Casualties,2010,All ages,Male,All Car users,Number,94
1045,Killed Casualties,2010,All ages,Male,Car drivers,Number,60
1046,Killed Casualties,2010,All ages,Male,Car passengers,Number,34
1047,Killed Casualties,2010,All ages,Male,Other road users,Number,15
1049,Killed Casualties,2010,All ages,Female,Pedestrians,Number,12
1050,Killed Casualties,2010,All ages,Female,Pedal cyclists,Number,1
1051,Killed Casualties,2010,All ages,Female,Motor cyclists,Number,1
1052,Killed Casualties,2010,All ages,Female,All Car users,Number,31
1053,Killed Casualties,2010,All ages,Female,Car drivers,Number,19
1054,Killed Casualties,2010,All ages,Female,Car passengers,Number,12
1055,Killed Casualties,2010,All ages,Female,Other road users,Number,1
1249,Killed Casualties,2011,All ages,Male,Pedestrians,Number,33
1250,Killed Casualties,2011,All ages,Male,Pedal cyclists,Number,9
