,Statistic Label,Year,Age Group,Sex,Road User Type,UNIT,VALUE
6673,All Killed and Injured Casualties,2005,0 - 5 years,Male,Pedestrians,Number,39
6674,All Killed and Injured Casualties,2005,0 - 5 years,Male,Pedal cyclists,Number,0
6675,All Killed and Injured Casualties,2005,0 - 5 years,Male,Motor cyclists,Number,0
6676,All Killed and Injured Casualties,2005,0 - 5 years,Male,All Car users,Number,53
6677,All Killed and Injured Casualties,2005,0 - 5 years,Male,Car drivers,Number,1
6678,All Killed and Injured Casualties,2005,0 - 5 years,Male,Car passengers,Number,52
6679,All Killed and Injured Casualties,2005,0 - 5 years,Male,Other road users,Number,4
6681,All Killed and Injured Casualties,2005,0 - 5 years,Female,Pedestrians,Number,17
6682,All Killed and Injured Casualties,2005,0 - 5 years,Female,Pedal cyclists,Number,1
6683,All Killed and Injured Casualties,2005,0 - 5 years,Female,Motor cyclists,Number,0
6684,All Killed and Injured Casualties,2005,0 - 5 years,Female,All Car users,Number,53
6685,All Killed and Injured Casualties,2005,0 - 5 years,Female,Car drivers,Number,0
6686,All Killed and Injured Casualties,2005,0 - 5 years,Female,Car passengers,Number,53
6687,All Killed and Injured Casualties,2005,0 - 5 years,Female,Other road users,Number,1
6689,All Killed and Injured Casualties,2005,6 - 9 years,Male,Pedestrians,Number,42
6690,All Killed and Injured Casualties,2005,6 - 9 years,Male,Pedal cyclists,Number,8
6691,All Killed and Injured Casualties,2005,6 - 9 years,Male,Motor cyclists,Number,1
6692,All Killed and Injured Casualties,2005,6 - 9 years,Male,All Car users,Number,37
6693,All Killed and Injured Casualties,2005,6 - 9 years,Male,Car drivers,Number,0
6694,All Killed and Injured Casualties,2005,6 - 9 years,Male,Car passengers,Number,37
6695,All Killed and Injured Casualties,2005,6 - 9 years,Male,Other road users,Number,9
6697,All Killed and Injured Casualties,2005,6 - 9 years,Female,Pedestrians,Number,19
6698,All Killed and Injured Casualties,2005,6 - 9 years,Female,Pedal cyclists,Number,3
6699,All Killed and Injured Casualties,2005,6 - 9 years,Female,Motor cyclists,Number,0
6700,All Killed and Injured Casualties,2005,6 - 9 years,Female,All Car users,Number,37
6701,All Killed and Injured Casualties,2005,6 - 9 years,Female,Car drivers,Number,0
6702,All Killed and Injured Casualties,2005,6 - 9 years,Female,Car passengers,Number,37
6703,All Killed and Injured Casualties,2005,6 - 9 years,Female,Other road users,Number,3
6705,All Killed and Injured Casualties,2005,10 - 14 years,Male,Pedestrians,Number,52
6706,All Killed and Injured Casualties,2005,10 - 14 years,Male,Pedal cyclists,Number,12
6707,All Killed and Injured Casualties,2005,10 - 14 years,Male,Motor cyclists,Number,1
6708,All Killed and Injured Casualties,2005,10 - 14 years,Male,All Car users,Number,54
6709,All Killed and Injured Casualties,2005,10 - 14 years,Male,Car drivers,Number,1
6710,All Killed and Injured Casualties,2005,10 - 14 years,Male,Car passengers,Number,53
6711,All Killed and Injured Casualties,2005,10 - 14 years,Male,Other road users,Number,20
6713,All Killed and Injured Casualties,2005,10 - 14 years,Female,Pedestrians,Number,48
6714,All Killed and Injured Casualties,2005,10 - 14 years,Female,Pedal cyclists,Number,3
6715,All Killed and Injured Casualties,2005,10 - 14 years,Female,Motor cyclists,Number,0
6716,All Killed and Injured Casualties,2005,10 - 14 years,Female,All Car users,Number,46
6717,All Killed and Injured Casualties,2005,10 - 14 years,Female,Car drivers,Number,0
6718,All Killed and Injured Casualties,2005,10 - 14 years,Female,Car passengers,Number,46
6719,All Killed and Injured Casualties,2005,10 - 14 years,Female,Other road users,Number,6
6721,All Killed and Injured Casualties,2005,15 - 17 years,Male,Pedestrians,Number,37
6722,All Killed and Injured Casualties,2005,15 - 17 years,Male,Pedal cyclists,Number,13
6723,All Killed and Injured Casualties,2005,15 - 17 years,Male,Motor cyclists,Number,38
6724,All Killed and Injured Casualties,2005,15 - 17 years,Male,All Car users,Number,143
6725,All Killed and Injured Casualties,2005,15 - 17 years,Male,Car drivers,Number,54
6726,All Killed and Injured Casualties,2005,15 - 17 years,Male,Car passengers,Number,89
6727,All Killed and Injured Casualties,2005,15 - 17 years,Male,Other road users,Number,27
6729,All Killed and Injured Casualties,2005,15 - 17 years,Female,Pedestrians,Number,40
6730,All Killed and Injured Casualties,2005,15 - 17 years,Female,Pedal cyclists,Number,2
6731,All Killed and Injured Casualties,2005,15 - 17 years,Female,Motor cyclists,Number,6
6732,All Killed and Injured Casualties,2005,15 - 17 years,Female,All Car users,Number,104
6733,All Killed and Injured Casualties,2005,15 - 17 years,Female,Car drivers,Number,13
6734,All Killed and Injured Casualties,2005,15 - 17 years,Female,Car passengers,Number,91
6735,All Killed and Injured Casualties,2005,15 - 17 years,Female,Other road users,Number,13
6737,All Killed and Injured Casualties,2005,18 - 20 years,Male,Pedestrians,Number,29
6738,All Killed and Injured Casualties,2005,18 - 20 years,Male,Pedal cyclists,Number,9
6739,All Killed and Injured Casualties,2005,18 - 20 years,Male,Motor cyclists,Number,43
6740,All Killed and Injured Casualties,2005,18 - 20 years,Male,All Car users,Number,509
6741,All Killed and Injured Casualties,2005,18 - 20 years,Male,Car drivers,Number,294
6742,All Killed and Injured Casualties,2005,18 - 20 years,Male,Car passengers,Number,215
6743,All Killed and Injured Casualties,2005,18 - 20 years,Male,Other road users,Number,50
6745,All Killed and Injured Casualties,2005,18 - 20 years,Female,Pedestrians,Number,24
6746,All Killed and Injured Casualties,2005,18 - 20 years,Female,Pedal cyclists,Number,0
6747,All Killed and Injured Casualties,2005,18 - 20 years,Female,Motor cyclists,Number,1
6748,All Killed and Injured Casualties,2005,18 - 20 years,Female,All Car users,Number,291
6749,All Killed and Injured Casualties,2005,18 - 20 years,Female,Car drivers,Number,124
6750,All Killed and Injured Casualties,2005,18 - 20 years,Female,Car passengers,Number,167
6751,All Killed and Injured Casualties,2005,18 - 20 years,Female,Other road users,Number,12
6753,All Killed and Injured Casualties,2005,21 - 24 years,Male,Pedestrians,Number,42
6754,All Killed and Injured Casualties,2005,21 - 24 years,Male,Pedal cyclists,Number,11
