,Statistic,Year,Month of Year,UNIT,VALUE
1,Fatal Collisions,2005,January,Number,31
2,Fatal Collisions,2005,February,Number,34
3,Fatal Collisions,2005,March,Number,23
4,Fatal Collisions,2005,April,Number,20
5,Fatal Collisions,2005,May,Number,36
6,Fatal Collisions,2005,June,Number,20
7,Fatal Collisions,2005,July,Number,38
8,Fatal Collisions,2005,August,Number,23
9,Fatal Collisions,2005,September,Number,29
10,Fatal Collisions,2005,October,Number,38
11,Fatal Collisions,2005,November,Number,31
12,Fatal Collisions,2005,December,Number,37
14,Fatal Collisions,2006,January,Number,34
15,Fatal Collisions,2006,February,Number,26
16,Fatal Collisions,2006,March,Number,25
17,Fatal Collisions,2006,April,Number,29
18,Fatal Collisions,2006,May,Number,25
19,Fatal Collisions,2006,June,Number,31
20,Fatal Collisions,2006,July,Number,33
21,Fatal Collisions,2006,August,Number,17
22,Fatal Collisions,2006,September,Number,21
23,Fatal Collisions,2006,October,Number,25
24,Fatal Collisions,2006,November,Number,24
25,Fatal Collisions,2006,December,Number,31
27,Fatal Collisions,2007,January,Number,21
28,Fatal Collisions,2007,February,Number,24
29,Fatal Collisions,2007,March,Number,32
30,Fatal Collisions,2007,April,Number,25
31,Fatal Collisions,2007,May,Number,19
32,Fatal Collisions,2007,June,Number,28
33,Fatal Collisions,2007,July,Number,30
34,Fatal Collisions,2007,August,Number,24
35,Fatal Collisions,2007,September,Number,26
36,Fatal Collisions,2007,October,Number,24
37,Fatal Collisions,2007,November,Number,20
38,Fatal Collisions,2007,December,Number,36
40,Fatal Collisions,2008,January,Number,25
41,Fatal Collisions,2008,February,Number,27
42,Fatal Collisions,2008,March,Number,18
43,Fatal Collisions,2008,April,Number,19
44,Fatal Collisions,2008,May,Number,16
45,Fatal Collisions,2008,June,Number,23
46,Fatal Collisions,2008,July,Number,24
47,Fatal Collisions,2008,August,Number,25
48,Fatal Collisions,2008,September,Number,19
49,Fatal Collisions,2008,October,Number,21
50,Fatal Collisions,2008,November,Number,20
51,Fatal Collisions,2008,December,Number,17
53,Fatal Collisions,2009,January,Number,17
54,Fatal Collisions,2009,February,Number,12
55,Fatal Collisions,2009,March,Number,22
56,Fatal Collisions,2009,April,Number,19
57,Fatal Collisions,2009,May,Number,25
58,Fatal Collisions,2009,June,Number,15
59,Fatal Collisions,2009,July,Number,17
60,Fatal Collisions,2009,August,Number,19
61,Fatal Collisions,2009,September,Number,14
62,Fatal Collisions,2009,October,Number,21
63,Fatal Collisions,2009,November,Number,21
64,Fatal Collisions,2009,December,Number,18
66,Fatal Collisions,2010,January,Number,14
67,Fatal Collisions,2010,February,Number,14
68,Fatal Collisions,2010,March,Number,12
69,Fatal Collisions,2010,April,Number,17
70,Fatal Collisions,2010,May,Number,25
71,Fatal Collisions,2010,June,Number,11
72,Fatal Collisions,2010,July,Number,13
73,Fatal Collisions,2010,August,Number,15
74,Fatal Collisions,2010,September,Number,11
75,Fatal Collisions,2010,October,Number,34
76,Fatal Collisions,2010,November,Number,13
77,Fatal Collisions,2010,December,Number,6
79,Fatal Collisions,2011,January,Number,16
80,Fatal Collisions,2011,February,Number,18
81,Fatal Collisions,2011,March,Number,14
82,Fatal Collisions,2011,April,Number,8
83,Fatal Collisions,2011,May,Number,10
84,Fatal Collisions,2011,June,Number,14
85,Fatal Collisions,2011,July,Number,17
86,Fatal Collisions,2011,August,Number,14
87,Fatal Collisions,2011,September,Number,13
88,Fatal Collisions,2011,October,Number,14
89,Fatal Collisions,2011,November,Number,18
90,Fatal Collisions,2011,December,Number,16
92,Fatal Collisions,2012,January,Number,10
93,Fatal Collisions,2012,February,Number,13
94,Fatal Collisions,2012,March,Number,11
95,Fatal Collisions,2012,April,Number,16
96,Fatal Collisions,2012,May,Number,12
97,Fatal Collisions,2012,June,Number,24
98,Fatal Collisions,2012,July,Number,15
99,Fatal Collisions,2012,August,Number,8
100,Fatal Collisions,2012,September,Number,10
101,Fatal Collisions,2012,October,Number,13
102,Fatal Collisions,2012,November,Number,8
103,Fatal Collisions,2012,December,Number,12
105,Fatal Collisions,2013,January,Number,18
106,Fatal Collisions,2013,February,Number,13
107,Fatal Collisions,2013,March,Number,14
108,Fatal Collisions,2013,April,Number,12
109,Fatal Collisions,2013,May,Number,14
110,Fatal Collisions,2013,June,Number,13
111,Fatal Collisions,2013,July,Number,18
112,Fatal Collisions,2013,August,Number,17
113,Fatal Collisions,2013,September,Number,16
114,Fatal Collisions,2013,October,Number,13
115,Fatal Collisions,2013,November,Number,15
116,Fatal Collisions,2013,December,Number,16
118,Fatal Collisions,2014,January,Number,15
119,Fatal Collisions,2014,February,Number,13
120,Fatal Collisions,2014,March,Number,14
121,Fatal Collisions,2014,April,Number,13
122,Fatal Collisions,2014,May,Number,18
123,Fatal Collisions,2014,June,Number,14
124,Fatal Collisions,2014,July,Number,16
125,Fatal Collisions,2014,August,Number,14
126,Fatal Collisions,2014,September,Number,11
127,Fatal Collisions,2014,October,Number,15
128,Fatal Collisions,2014,November,Number,18
129,Fatal Collisions,2014,December,Number,17
131,Fatal Collisions,2015,January,Number,9
132,Fatal Collisions,2015,February,Number,13
133,Fatal Collisions,2015,March,Number,11
134,Fatal Collisions,2015,April,Number,7
135,Fatal Collisions,2015,May,Number,12
136,Fatal Collisions,2015,June,Number,13
137,Fatal Collisions,2015,July,Number,17
138,Fatal Collisions,2015,August,Number,14
139,Fatal Collisions,2015,September,Number,16
140,Fatal Collisions,2015,October,Number,11
141,Fatal Collisions,2015,November,Number,13
142,Fatal Collisions,2015,December,Number,19
144,Fatal Collisions,2016,January,Number,14
145,Fatal Collisions,2016,February,Number,10
146,Fatal Collisions,2016,March,Number,16
147,Fatal Collisions,2016,April,Number,13
148,Fatal Collisions,2016,May,Number,20
149,Fatal Collisions,2016,June,Number,12
150,Fatal Collisions,2016,July,Number,16
151,Fatal Collisions,2016,August,Number,13
152,Fatal Collisions,2016,September,Number,17
153,Fatal Collisions,2016,October,Number,19
154,Fatal Collisions,2016,November,Number,9
155,Fatal Collisions,2016,December,Number,15
157,Fatal Collisions,2017,January,Number,14
158,Fatal Collisions,2017,February,Number,10
159,Fatal Collisions,2017,March,Number,19
160,Fatal Collisions,2017,April,Number,6
161,Fatal Collisions,2017,May,Number,8
162,Fatal Collisions,2017,June,Number,13
163,Fatal Collisions,2017,July,Number,14
164,Fatal Collisions,2017,August,Number,10
165,Fatal Collisions,2017,September,Number,10
166,Fatal Collisions,2017,October,Number,11
167,Fatal Collisions,2017,November,Number,13
168,Fatal Collisions,2017,December,Number,12
170,Fatal Collisions,2018,January,Number,11
171,Fatal Collisions,2018,February,Number,10
172,Fatal Collisions,2018,March,Number,13
173,Fatal Collisions,2018,April,Number,15
174,Fatal Collisions,2018,May,Number,4
175,Fatal Collisions,2018,June,Number,15
176,Fatal Collisions,2018,July,Number,8
177,Fatal Collisions,2018,August,Number,11
178,Fatal Collisions,2018,September,Number,10
179,Fatal Collisions,2018,October,Number,9
180,Fatal Collisions,2018,November,Number,11
181,Fatal Collisions,2018,December,Number,15
183,Fatal Collisions,2019,January,Number,10
