,Statistic,Year,Day of Week,UNIT,VALUE
1,Fatal Collisions,2005,Sunday,Number,82
2,Fatal Collisions,2005,Monday,Number,42
3,Fatal Collisions,2005,Tuesday,Number,28
4,Fatal Collisions,2005,Wednesday,Number,36
5,Fatal Collisions,2005,Thursday,Number,43
6,Fatal Collisions,2005,Friday,Number,54
7,Fatal Collisions,2005,Saturday,Number,75
9,Fatal Collisions,2006,Sunday,Number,70
10,Fatal Collisions,2006,Monday,Number,55
11,Fatal Collisions,2006,Tuesday,Number,41
12,Fatal Collisions,2006,Wednesday,Number,30
13,Fatal Collisions,2006,Thursday,Number,35
14,Fatal Collisions,2006,Friday,Number,41
15,Fatal Collisions,2006,Saturday,Number,49
17,Fatal Collisions,2007,Sunday,Number,66
18,Fatal Collisions,2007,Monday,Number,36
19,Fatal Collisions,2007,Tuesday,Number,34
20,Fatal Collisions,2007,Wednesday,Number,32
21,Fatal Collisions,2007,Thursday,Number,53
22,Fatal Collisions,2007,Friday,Number,34
23,Fatal Collisions,2007,Saturday,Number,54
25,Fatal Collisions,2008,Sunday,Number,52
26,Fatal Collisions,2008,Monday,Number,34
27,Fatal Collisions,2008,Tuesday,Number,32
28,Fatal Collisions,2008,Wednesday,Number,29
29,Fatal Collisions,2008,Thursday,Number,34
30,Fatal Collisions,2008,Friday,Number,31
31,Fatal Collisions,2008,Saturday,Number,42
33,Fatal Collisions,2009,Sunday,Number,47
34,Fatal Collisions,2009,Monday,Number,41
35,Fatal Collisions,2009,Tuesday,Number,28
36,Fatal Collisions,2009,Wednesday,Number,25
37,Fatal Collisions,2009,Thursday,Number,16
38,Fatal Collisions,2009,Friday,Number,29
39,Fatal Collisions,2009,Saturday,Number,34
41,Fatal Collisions,2010,Sunday,Number,42
42,Fatal Collisions,2010,Monday,Number,20
43,Fatal Collisions,2010,Tuesday,Number,21
44,Fatal Collisions,2010,Wednesday,Number,20
45,Fatal Collisions,2010,Thursday,Number,19
46,Fatal Collisions,2010,Friday,Number,26
47,Fatal Collisions,2010,Saturday,Number,37
49,Fatal Collisions,2011,Sunday,Number,30
50,Fatal Collisions,2011,Monday,Number,29
51,Fatal Collisions,2011,Tuesday,Number,26
52,Fatal Collisions,2011,Wednesday,Number,19
53,Fatal Collisions,2011,Thursday,Number,21
54,Fatal Collisions,2011,Friday,Number,29
55,Fatal Collisions,2011,Saturday,Number,18
57,Fatal Collisions,2012,Sunday,Number,38
58,Fatal Collisions,2012,Monday,Number,16
59,Fatal Collisions,2012,Tuesday,Number,11
60,Fatal Collisions,2012,Wednesday,Number,20
61,Fatal Collisions,2012,Thursday,Number,19
62,Fatal Collisions,2012,Friday,Number,22
63,Fatal Collisions,2012,Saturday,Number,26
65,Fatal Collisions,2013,Sunday,Number,32
66,Fatal Collisions,2013,Monday,Number,27
67,Fatal Collisions,2013,Tuesday,Number,19
68,Fatal Collisions,2013,Wednesday,Number,21
69,Fatal Collisions,2013,Thursday,Number,24
70,Fatal Collisions,2013,Friday,Number,32
71,Fatal Collisions,2013,Saturday,Number,24
73,Fatal Collisions,2014,Sunday,Number,29
74,Fatal Collisions,2014,Monday,Number,26
75,Fatal Collisions,2014,Tuesday,Number,18
76,Fatal Collisions,2014,Wednesday,Number,23
77,Fatal Collisions,2014,Thursday,Number,35
78,Fatal Collisions,2014,Friday,Number,24
79,Fatal Collisions,2014,Saturday,Number,23
81,Fatal Collisions,2015,Sunday,Number,29
82,Fatal Collisions,2015,Monday,Number,20
83,Fatal Collisions,2015,Tuesday,Number,23
84,Fatal Collisions,2015,Wednesday,Number,20
85,Fatal Collisions,2015,Thursday,Number,19
86,Fatal Collisions,2015,Friday,Number,22
87,Fatal Collisions,2015,Saturday,Number,22
89,Fatal Collisions,2016,Sunday,Number,34
90,Fatal Collisions,2016,Monday,Number,19
91,Fatal Collisions,2016,Tuesday,Number,26
92,Fatal Collisions,2016,Wednesday,Number,23
93,Fatal Collisions,2016,Thursday,Number,30
94,Fatal Collisions,2016,Friday,Number,15
95,Fatal Collisions,2016,Saturday,Number,27
97,Fatal Collisions,2017,Sunday,Number,30
98,Fatal Collisions,2017,Monday,Number,30
99,Fatal Collisions,2017,Tuesday,Number,17
100,Fatal Collisions,2017,Wednesday,Number,16
101,Fatal Collisions,2017,Thursday,Number,9
102,Fatal Collisions,2017,Friday,Number,17
103,Fatal Collisions,2017,Saturday,Number,22
105,Fatal Collisions,2018,Sunday,Number,29
106,Fatal Collisions,2018,Monday,Number,16
107,Fatal Collisions,2018,Tuesday,Number,21
108,Fatal Collisions,2018,Wednesday,Number,16
109,Fatal Collisions,2018,Thursday,Number,14
110,Fatal Collisions,2018,Friday,Number,18
111,Fatal Collisions,2018,Saturday,Number,18
113,Fatal Collisions,2019,Sunday,Number,29
114,Fatal Collisions,2019,Monday,Number,16
115,Fatal Collisions,2019,Tuesday,Number,12
116,Fatal Collisions,2019,Wednesday,Number,10
117,Fatal Collisions,2019,Thursday,Number,20
118,Fatal Collisions,2019,Friday,Number,24
119,Fatal Collisions,2019,Saturday,Number,18
121,Injury Collisions,2005,Sunday,Number,916
122,Injury Collisions,2005,Monday,Number,893
123,Injury Collisions,2005,Tuesday,Number,780
124,Injury Collisions,2005,Wednesday,Number,820
125,Injury Collisions,2005,Thursday,Number,853
126,Injury Collisions,2005,Friday,Number,988
127,Injury Collisions,2005,Saturday,Number,923
129,Injury Collisions,2006,Sunday,Number,901
130,Injury Collisions,2006,Monday,Number,811
131,Injury Collisions,2006,Tuesday,Number,789
132,Injury Collisions,2006,Wednesday,Number,720
133,Injury Collisions,2006,Thursday,Number,716
134,Injury Collisions,2006,Friday,Number,869
135,Injury Collisions,2006,Saturday,Number,891
