,Statistic,Year,Hour of Day,UNIT,VALUE
276,Fatal Collisions,2016,24,Number,4
277,Fatal Collisions,2016,1,Number,9
278,Fatal Collisions,2016,2,Number,6
279,Fatal Collisions,2016,3,Number,3
280,Fatal Collisions,2016,4,Number,6
281,Fatal Collisions,2016,5,Number,4
282,Fatal Collisions,2016,6,Number,3
283,Fatal Collisions,2016,7,Number,6
284,Fatal Collisions,2016,8,Number,5
285,Fatal Collisions,2016,9,Number,5
286,Fatal Collisions,2016,10,Number,10
287,Fatal Collisions,2016,11,Number,6
288,Fatal Collisions,2016,12,Number,7
289,Fatal Collisions,2016,13,Number,9
290,Fatal Collisions,2016,14,Number,4
291,Fatal Collisions,2016,15,Number,10
292,Fatal Collisions,2016,16,Number,18
293,Fatal Collisions,2016,17,Number,8
294,Fatal Collisions,2016,18,Number,8
295,Fatal Collisions,2016,19,Number,9
296,Fatal Collisions,2016,20,Number,8
297,Fatal Collisions,2016,21,Number,7
298,Fatal Collisions,2016,22,Number,9
299,Fatal Collisions,2016,23,Number,10
301,Fatal Collisions,2017,24,Number,5
302,Fatal Collisions,2017,1,Number,7
303,Fatal Collisions,2017,2,Number,3
304,Fatal Collisions,2017,3,Number,5
305,Fatal Collisions,2017,4,Number,5
306,Fatal Collisions,2017,5,Number,2
307,Fatal Collisions,2017,6,Number,3
308,Fatal Collisions,2017,7,Number,8
309,Fatal Collisions,2017,8,Number,4
310,Fatal Collisions,2017,9,Number,7
311,Fatal Collisions,2017,10,Number,5
312,Fatal Collisions,2017,11,Number,7
313,Fatal Collisions,2017,12,Number,11
314,Fatal Collisions,2017,13,Number,4
315,Fatal Collisions,2017,14,Number,12
316,Fatal Collisions,2017,15,Number,7
317,Fatal Collisions,2017,16,Number,8
318,Fatal Collisions,2017,17,Number,6
319,Fatal Collisions,2017,18,Number,6
320,Fatal Collisions,2017,19,Number,7
321,Fatal Collisions,2017,20,Number,7
322,Fatal Collisions,2017,21,Number,3
323,Fatal Collisions,2017,22,Number,4
324,Fatal Collisions,2017,23,Number,5
326,Fatal Collisions,2018,24,Number,6
327,Fatal Collisions,2018,1,Number,7
328,Fatal Collisions,2018,2,Number,1
329,Fatal Collisions,2018,3,Number,4
330,Fatal Collisions,2018,4,Number,6
331,Fatal Collisions,2018,5,Number,3
332,Fatal Collisions,2018,6,Number,2
333,Fatal Collisions,2018,7,Number,2
334,Fatal Collisions,2018,8,Number,6
335,Fatal Collisions,2018,9,Number,6
336,Fatal Collisions,2018,10,Number,2
337,Fatal Collisions,2018,11,Number,3
338,Fatal Collisions,2018,12,Number,6
339,Fatal Collisions,2018,13,Number,6
340,Fatal Collisions,2018,14,Number,8
341,Fatal Collisions,2018,15,Number,6
342,Fatal Collisions,2018,16,Number,7
343,Fatal Collisions,2018,17,Number,7
344,Fatal Collisions,2018,18,Number,9
345,Fatal Collisions,2018,19,Number,7
346,Fatal Collisions,2018,20,Number,4
347,Fatal Collisions,2018,21,Number,10
348,Fatal Collisions,2018,22,Number,3
349,Fatal Collisions,2018,23,Number,11
351,Fatal Collisions,2019,24,Number,6
352,Fatal Collisions,2019,1,Number,8
353,Fatal Collisions,2019,2,Number,6
354,Fatal Collisions,2019,3,Number,2
355,Fatal Collisions,2019,4,Number,0
356,Fatal Collisions,2019,5,Number,2
357,Fatal Collisions,2019,6,Number,7
358,Fatal Collisions,2019,7,Number,5
359,Fatal Collisions,2019,8,Number,5
360,Fatal Collisions,2019,9,Number,3
361,Fatal Collisions,2019,10,Number,4
362,Fatal Collisions,2019,11,Number,6
363,Fatal Collisions,2019,12,Number,8
364,Fatal Collisions,2019,13,Number,6
365,Fatal Collisions,2019,14,Number,8
366,Fatal Collisions,2019,15,Number,8
367,Fatal Collisions,2019,16,Number,4
368,Fatal Collisions,2019,17,Number,7
369,Fatal Collisions,2019,18,Number,10
370,Fatal Collisions,2019,19,Number,8
371,Fatal Collisions,2019,20,Number,6
372,Fatal Collisions,2019,21,Number,3
373,Fatal Collisions,2019,22,Number,5
374,Fatal Collisions,2019,23,Number,2
651,Injury Collisions,2016,24,Number,113
652,Injury Collisions,2016,1,Number,101
653,Injury Collisions,2016,2,Number,80
654,Injury Collisions,2016,3,Number,89
655,Injury Collisions,2016,4,Number,52
656,Injury Collisions,2016,5,Number,53
657,Injury Collisions,2016,6,Number,92
658,Injury Collisions,2016,7,Number,227
659,Injury Collisions,2016,8,Number,361
660,Injury Collisions,2016,9,Number,304
661,Injury Collisions,2016,10,Number,225
662,Injury Collisions,2016,11,Number,237
663,Injury Collisions,2016,12,Number,337
664,Injury Collisions,2016,13,Number,356
665,Injury Collisions,2016,14,Number,338
666,Injury Collisions,2016,15,Number,348
667,Injury Collisions,2016,16,Number,430
668,Injury Collisions,2016,17,Number,488
669,Injury Collisions,2016,18,Number,422
670,Injury Collisions,2016,19,Number,340
671,Injury Collisions,2016,20,Number,239
672,Injury Collisions,2016,21,Number,193
673,Injury Collisions,2016,22,Number,165
674,Injury Collisions,2016,23,Number,127
676,Injury Collisions,2017,24,Number,102
677,Injury Collisions,2017,1,Number,82
678,Injury Collisions,2017,2,Number,100
679,Injury Collisions,2017,3,Number,78
680,Injury Collisions,2017,4,Number,49
681,Injury Collisions,2017,5,Number,47
682,Injury Collisions,2017,6,Number,106
683,Injury Collisions,2017,7,Number,207
684,Injury Collisions,2017,8,Number,338
685,Injury Collisions,2017,9,Number,283
686,Injury Collisions,2017,10,Number,294
687,Injury Collisions,2017,11,Number,277
688,Injury Collisions,2017,12,Number,303
689,Injury Collisions,2017,13,Number,352
690,Injury Collisions,2017,14,Number,352
691,Injury Collisions,2017,15,Number,415
692,Injury Collisions,2017,16,Number,415
693,Injury Collisions,2017,17,Number,556
694,Injury Collisions,2017,18,Number,451
695,Injury Collisions,2017,19,Number,375
696,Injury Collisions,2017,20,Number,272
697,Injury Collisions,2017,21,Number,179
698,Injury Collisions,2017,22,Number,154
699,Injury Collisions,2017,23,Number,127
701,Injury Collisions,2018,24,Number,122
702,Injury Collisions,2018,1,Number,75
703,Injury Collisions,2018,2,Number,95
704,Injury Collisions,2018,3,Number,69
705,Injury Collisions,2018,4,Number,38
706,Injury Collisions,2018,5,Number,48
707,Injury Collisions,2018,6,Number,92
708,Injury Collisions,2018,7,Number,247
709,Injury Collisions,2018,8,Number,361
710,Injury Collisions,2018,9,Number,326
711,Injury Collisions,2018,10,Number,276
712,Injury Collisions,2018,11,Number,275
713,Injury Collisions,2018,12,Number,353
714,Injury Collisions,2018,13,Number,348
715,Injury Collisions,2018,14,Number,378
716,Injury Collisions,2018,15,Number,413
717,Injury Collisions,2018,16,Number,448
718,Injury Collisions,2018,17,Number,504
719,Injury Collisions,2018,18,Number,429
720,Injury Collisions,2018,19,Number,357
721,Injury Collisions,2018,20,Number,271
722,Injury Collisions,2018,21,Number,191
723,Injury Collisions,2018,22,Number,135
724,Injury Collisions,2018,23,Number,123
726,Injury Collisions,2019,24,Number,81
727,Injury Collisions,2019,1,Number,83
728,Injury Collisions,2019,2,Number,66
729,Injury Collisions,2019,3,Number,55
730,Injury Collisions,2019,4,Number,37
731,Injury Collisions,2019,5,Number,35
732,Injury Collisions,2019,6,Number,92
733,Injury Collisions,2019,7,Number,260
734,Injury Collisions,2019,8,Number,386
735,Injury Collisions,2019,9,Number,306
736,Injury Collisions,2019,10,Number,238
737,Injury Collisions,2019,11,Number,266
738,Injury Collisions,2019,12,Number,330
739,Injury Collisions,2019,13,Number,343
740,Injury Collisions,2019,14,Number,374
741,Injury Collisions,2019,15,Number,408
742,Injury Collisions,2019,16,Number,434
743,Injury Collisions,2019,17,Number,491
744,Injury Collisions,2019,18,Number,424
745,Injury Collisions,2019,19,Number,320
746,Injury Collisions,2019,20,Number,239
747,Injury Collisions,2019,21,Number,177
748,Injury Collisions,2019,22,Number,143
749,Injury Collisions,2019,23,Number,110
1026,All Fatal and Injury Collisions,2016,24,Number,117
1027,All Fatal and Injury Collisions,2016,1,Number,110
1028,All Fatal and Injury Collisions,2016,2,Number,86
1029,All Fatal and Injury Collisions,2016,3,Number,92
1030,All Fatal and Injury Collisions,2016,4,Number,58
1031,All Fatal and Injury Collisions,2016,5,Number,57
1032,All Fatal and Injury Collisions,2016,6,Number,95
1033,All Fatal and Injury Collisions,2016,7,Number,233
1034,All Fatal and Injury Collisions,2016,8,Number,366
1035,All Fatal and Injury Collisions,2016,9,Number,309
1036,All Fatal and Injury Collisions,2016,10,Number,235
1037,All Fatal and Injury Collisions,2016,11,Number,243
1038,All Fatal and Injury Collisions,2016,12,Number,344
1039,All Fatal and Injury Collisions,2016,13,Number,365
1040,All Fatal and Injury Collisions,2016,14,Number,342
1041,All Fatal and Injury Collisions,2016,15,Number,358
1042,All Fatal and Injury Collisions,2016,16,Number,448
1043,All Fatal and Injury Collisions,2016,17,Number,496
1044,All Fatal and Injury Collisions,2016,18,Number,430
1045,All Fatal and Injury Collisions,2016,19,Number,349
1046,All Fatal and Injury Collisions,2016,20,Number,247
1047,All Fatal and Injury Collisions,2016,21,Number,200
1048,All Fatal and Injury Collisions,2016,22,Number,174
1049,All Fatal and Injury Collisions,2016,23,Number,137
1051,All Fatal and Injury Collisions,2017,24,Number,107
1052,All Fatal and Injury Collisions,2017,1,Number,89
1053,All Fatal and Injury Collisions,2017,2,Number,103
1054,All Fatal and Injury Collisions,2017,3,Number,83
1055,All Fatal and Injury Collisions,2017,4,Number,54
1056,All Fatal and Injury Collisions,2017,5,Number,49
1057,All Fatal and Injury Collisions,2017,6,Number,109
1058,All Fatal and Injury Collisions,2017,7,Number,215
1059,All Fatal and Injury Collisions,2017,8,Number,342
1060,All Fatal and Injury Collisions,2017,9,Number,290
1061,All Fatal and Injury Collisions,2017,10,Number,299
1062,All Fatal and Injury Collisions,2017,11,Number,284
1063,All Fatal and Injury Collisions,2017,12,Number,314
1064,All Fatal and Injury Collisions,2017,13,Number,356
1065,All Fatal and Injury Collisions,2017,14,Number,364
1066,All Fatal and Injury Collisions,2017,15,Number,422
1067,All Fatal and Injury Collisions,2017,16,Number,423
1068,All Fatal and Injury Collisions,2017,17,Number,562
1069,All Fatal and Injury Collisions,2017,18,Number,457
1070,All Fatal and Injury Collisions,2017,19,Number,382
1071,All Fatal and Injury Collisions,2017,20,Number,279
1072,All Fatal and Injury Collisions,2017,21,Number,182
1073,All Fatal and Injury Collisions,2017,22,Number,158
1074,All Fatal and Injury Collisions,2017,23,Number,132
1076,All Fatal and Injury Collisions,2018,24,Number,128
1077,All Fatal and Injury Collisions,2018,1,Number,82
1078,All Fatal and Injury Collisions,2018,2,Number,96
1079,All Fatal and Injury Collisions,2018,3,Number,73
1080,All Fatal and Injury Collisions,2018,4,Number,44
1081,All Fatal and Injury Collisions,2018,5,Number,51
1082,All Fatal and Injury Collisions,2018,6,Number,94
1083,All Fatal and Injury Collisions,2018,7,Number,249
1084,All Fatal and Injury Collisions,2018,8,Number,367
1085,All Fatal and Injury Collisions,2018,9,Number,332
1086,All Fatal and Injury Collisions,2018,10,Number,278
1087,All Fatal and Injury Collisions,2018,11,Number,278
1088,All Fatal and Injury Collisions,2018,12,Number,359
1089,All Fatal and Injury Collisions,2018,13,Number,354
1090,All Fatal and Injury Collisions,2018,14,Number,386
1091,All Fatal and Injury Collisions,2018,15,Number,419
1092,All Fatal and Injury Collisions,2018,16,Number,455
1093,All Fatal and Injury Collisions,2018,17,Number,511
1094,All Fatal and Injury Collisions,2018,18,Number,438
1095,All Fatal and Injury Collisions,2018,19,Number,364
1096,All Fatal and Injury Collisions,2018,20,Number,275
1097,All Fatal and Injury Collisions,2018,21,Number,201
1098,All Fatal and Injury Collisions,2018,22,Number,138
1099,All Fatal and Injury Collisions,2018,23,Number,134
