Year,Deaths,World_Population,deaths_per_100k,,,,,,,,,
2000,1167006,6143493823,18.996,,,,,,,,,
2001,1187215,6222626606,19.079,,,,,,,,,
2002,1210435,6301773188,19.208,,,,,,,,,
2003,1209726,6381185114,18.958,,,,,,,,,
2004,1212037,6461159389,18.759,,,,,,,,,
2005,1232889,6541907027,18.846,,,,,,,,,
2006,1246439,6623517833,18.818,,,,,,,,,
2007,1257615,6705946610,18.754,,,,,,,,,
2008,1257051,6789088686,18.516,,,,,,,,,
2009,1251282,6872767093,18.206,,,,,,,,,
2010,1258627,6956823603,18.092,,,,,,,,,
2011,1274238,7041194301,18.097,,,,,,,,,
2012,1275303,7125828059,17.897,,,,,,,,,
2013,1258854,7210581976,17.458,,,,,,,,,
2014,1248372,7295290765,17.112,,,,,,,,,
2015,1245499,7379797139,16.877,,,,,,,,,
2016,1252812,7464022049,16.785,,,,,,,,,
2017,1256190,7547858925,16.643,,,,,,,,,
2018,1268214,7631091040,16.619,,,,,,,,,
2019,1282142,7713468100,16.622,,,,,,,,,
,,,,,,,,,,,,
